Category,Resume
Java Developer,"Experienced professional with a proven track record in Java Developer. B.Tech in Information Technology. Worked on various projects involving REST API and Git. Implemented solutions that improved efficiency by 20%. Skills: REST API, Git, Microservices, SQL, Spring Boot, Java. "
Web Designing,"Results-oriented Web Designing looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving JavaScript and React. Implemented solutions that improved efficiency by 20%. Skills: JavaScript, React, Figma, UI/UX, CSS. "
HR,"Highly skilled HR with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Sourcing and HR Policies. Implemented solutions that improved efficiency by 20%. Skills: Sourcing, HR Policies, Communication, Payroll, Human Resources, Employee Relations, Talent Acquisition. "
DevOps,"Results-oriented DevOps looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Docker and Terraform. Implemented solutions that improved efficiency by 20%. Skills: Docker, Terraform, Git, Kubernetes, AWS, Linux. "
Mechanical Engineer,"Highly skilled Mechanical Engineer with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Matlab and SolidWorks. Implemented solutions that improved efficiency by 20%. Skills: Matlab, SolidWorks, Design, AutoCAD, Product Design, Manufacturing, CAD, Mechanical Engineering. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. Master's degree in Engineering. Worked on various projects involving Deep Learning and Transformers. Implemented solutions that improved efficiency by 20%. Skills: Deep Learning, Transformers, Natural Language Processing, BERT, spaCy, Python, PyTorch. "
Web Designing,"Results-oriented Web Designing looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving CSS and UI/UX. Implemented solutions that improved efficiency by 20%. Skills: CSS, UI/UX, Web Development, Figma, Responsive Design, HTML, React, Adobe XD. "
Business Analyst,"Results-oriented Business Analyst looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving UML and PowerBI. Implemented solutions that improved efficiency by 20%. Skills: UML, PowerBI, Business Analysis, Requirement Gathering, Stakeholder Management. "
Testing,"Experienced professional with a proven track record in Testing. Master's degree in Engineering. Worked on various projects involving Agile and Bug Tracking. Implemented solutions that improved efficiency by 20%. Skills: Agile, Bug Tracking, Postman, TestNG, Manual Testing. "
Testing,"Dedicated Testing specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Postman and Java. Implemented solutions that improved efficiency by 20%. Skills: Postman, Java, TestNG, Selenium, Cucumber. "
Web Designing,"Passionate about Web Designing and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving CSS and JavaScript. Implemented solutions that improved efficiency by 20%. Skills: CSS, JavaScript, Responsive Design, HTML, React. "
DevOps,"Dedicated DevOps specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Bash and Docker. Implemented solutions that improved efficiency by 20%. Skills: Bash, Docker, Kubernetes, Prometheus, Jenkins, Terraform. "
HR,"Highly skilled HR with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Sourcing and HR Policies. Implemented solutions that improved efficiency by 20%. Skills: Sourcing, HR Policies, Communication, Talent Acquisition, Human Resources. "
Web Designing,"Results-oriented Web Designing looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Figma and JavaScript. Implemented solutions that improved efficiency by 20%. Skills: Figma, JavaScript, HTML, CSS, React, UI/UX, Web Development, Responsive Design. "
Python Developer,"Experienced professional with a proven track record in Python Developer. MBA in Human Resources. Worked on various projects involving Flask and Python. Implemented solutions that improved efficiency by 20%. Skills: Flask, Python, Linux, Docker, Unit Testing. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. B.Tech in Information Technology. Worked on various projects involving Word2Vec and BERT. Implemented solutions that improved efficiency by 20%. Skills: Word2Vec, BERT, Text Classification, Deep Learning, Natural Language Processing, NLTK, LLMs, NLP. "
Data Science,"Dedicated Data Science specialist with strong background. MBA in Human Resources. Worked on various projects involving Data Analysis and Statistics. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Statistics, Tableau, SQL, Scikit-learn, TensorFlow. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. MBA in Human Resources. Worked on various projects involving Python and Word2Vec. Implemented solutions that improved efficiency by 20%. Skills: Python, Word2Vec, Natural Language Processing, PyTorch, spaCy. "
Web Designing,"Dedicated Web Designing specialist with strong background. MBA in Human Resources. Worked on various projects involving Web Development and Adobe XD. Implemented solutions that improved efficiency by 20%. Skills: Web Development, Adobe XD, Bootstrap, JavaScript, CSS. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. B.Tech in Information Technology. Worked on various projects involving Deep Learning and Text Classification. Implemented solutions that improved efficiency by 20%. Skills: Deep Learning, Text Classification, NLP, spaCy, Natural Language Processing, PyTorch, BERT, Word2Vec. "
Business Analyst,"Dedicated Business Analyst specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving Jira and Business Analysis. Implemented solutions that improved efficiency by 20%. Skills: Jira, Business Analysis, Requirement Gathering, Data Analysis, Communication. "
HR,"Experienced professional with a proven track record in HR. MBA in Human Resources. Worked on various projects involving Employee Relations and Human Resources. Implemented solutions that improved efficiency by 20%. Skills: Employee Relations, Human Resources, Interviewing, Communication, Onboarding. "
Web Designing,"Experienced professional with a proven track record in Web Designing. Bachelor's degree in Computer Science. Worked on various projects involving Responsive Design and React. Implemented solutions that improved efficiency by 20%. Skills: Responsive Design, React, Adobe XD, CSS, Bootstrap, HTML, UI/UX, JavaScript. "
HR,"Passionate about HR and building scalable solutions. MBA in Human Resources. Worked on various projects involving Human Resources and Interviewing. Implemented solutions that improved efficiency by 20%. Skills: Human Resources, Interviewing, Recruitment, Employee Relations, Onboarding, Communication, Sourcing. "
